instruction,input,output
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ This conclude,s the proof
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," \hfill $\Box$ Similarly for nonzero integers $x,y,z$, we have $$\nu_p(\gcd","(x,y,z)) = \min\{\nu_p(x),\nu_p(y),\nu_p(z)\}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ A related concept is the least common multiple $\lcm(m,n",")$ of two integers $m,n$, or of multiple integers"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., One easily checks that $$\nu_p,"(\lcm(n,m)) = \max\{\nu_p(n),\nu_p(m)\}"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Since $$\min\{a,b\} + \max\{a,b\} = a + b,$$ ","we get $$\gcd(n,m)\lcm(n,m) = |nm|"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ The extra absolute value is only to deal with the case where $m$ or $n,"$ is negative, as the $p$-adic valuations don't see the sign of an integer"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,v \noindent\wow{Exercise:} Prove that if $e$ is a,"n integer such that $a\mid e$ and $b\mid e$, then $\lcm(a,b)\mid e$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,v We end this section with an a,pplication to the irrationality of $\sqrt{2}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{proposition}   The equation $x^2 = 2y^2$ has n,o nonzero integer solutions
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," As a consequence, $",\sqrt{2}$ is irrational
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{proposition} \begin{proof}   Suppose for a," contradiction that $a,b$ are nonzero integers such $a^2 = 2b^2$"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., We take $\nu_2$ of both sides to get   $$,2\nu_2(a) = 1 + 2\nu_2(b)
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$   This is a contradiction because the LHS is, an even integer while the RHS is an odd integer
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{proof} \subsection*{Exercises} \,begin{enumerate}[\thesection 
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,1]     \item Prove that the equation $2^x =, 3^y$ has no positive integer solutions
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., This implies that ,$\log_23$ is irrational
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Let $,p$ be a prime
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Define $|r|_p$ for any nonzero $r\in\Q$ by $|r|_p = p^{-\,nu_p(r)}$ and define $|0|_p = 0$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.," Then for any $r,s\in\Q$, prove that   \begin{enumerate}     \item $|rs|_p = |r|_p|s|_p$,  ","   \item $|r+s|_p \leq \max\{|r|_p,|s|_p\}\leq |r|_p + |s|_p"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$   \end{enumerate}   In o,"ther words, $|"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"|_p$ behaves similar to the usual absolute value, and is ca",lled the $p$-adic absolute value
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,  \item Prove that the equation $x^3 = 2y^3 + 4,z^3$ has no non-zero integer solutions
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,end{enumerate}  \section{Binomial coefficients} The number $$L_n = \lc,"m(1,2,\ldots, n)$$ is closely related to the prime counting functio"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,We consider a seemingly un,related questio
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., \qt{What is the prime factorization of $L_{69}$?} $$L_{69} = 2^6\cdot 3^3\cdot 5^2\cdot 7^2\cdot 11\cdot13\cdo,t17\cdot19\cdot 23\cdot 29\cdot31\cdot 37\cdot 41\cdot 43\cdot 47\cdot 53\cdot 59\cdot 61\cdot 67
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ Let $p$ be a,ny prime
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Let $k$ be a non-negative integer su,ch that $p^k\leq n < p^{k+1}$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., Then no integer from $1$ to $n$ is divisible by $p^{k+1}$ a,nd $p^k\leq n$ with $\nu_p(p^k) = k$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., In other words $$\nu_p(L_n) = \m,"ax\{\nu_p(1),\ldots,\nu_p(n)\} = k"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Now from $p^k\leq n < p^{k+1}$, we have $$k\leq \log_pn < k+1\qquad\mbox{so}",\qquad \nu_p(L_n) = k = \left\lfloor\frac{\log n}{\log p}\right\rfloor
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ In this class, unless otherwise specified,", $\log$ will be the natural log
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., We will prove that $$2^n\leq L_n\leq 4,^{n-1}$$ for $n\geq 7$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., The actual growth rate of, $L_n$ is $e^n$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup., We can observe from the above formula for $L_{69}$ that it is very, close to just the product of all the primes less than 69
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{center}   \add{Lecture 5 Fri 09/13}   \re{$p$-adic valuation of the binomial coefficients} \end{cent,er} \begin{theorem}\label{thm:PMT1}   (Prime number theorem) We have $$\lim_{n\rightarrow\infty}\frac{\log L_n}{n} = 1
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ \end{theorem}   You might be more familiar with the Prime number theorem stated in terms of the prime counting function $,\pi(x)$ which counts the number of primes less than or equal to $x$
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,begin{theorem}\label{thm:PMT2}     The Prime number theorem is equivalent to   $$\lim_{,x\rightarrow\infty}\frac{\pi(x)}{x/\log x} = 1
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$$ \end{theorem} Note that $$\log L_n = \sum_{p\leq n}\left\lfl,oor\frac{\log n}{\log p}\right\rfloor\log p
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,"$$ Roughly speaking, most of the contribution will come from the primes $p$ that are close to $n","$, in which case $\log p\sim\log n$ and $\left\lfloor\frac{\log n}{\log p}\right\rfloor = 1"
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$ So $\log L_n\,sim \pi(n)\log 
You are a latex autocomplete model. You will be given a setence from a proof and you need to finish the sentence. Give back the setence in latex markup.,$ Making this precise requires some very carefu,"l estimates, which is too technical to fit the margins here"
